date,state,crop_price,rainfall,temperature,drought_index,yield_index,production_cost_index,regime
2022-01-01,MT,129.17,149.2,23.5,0.096,0.896,1.071,normal
2022-02-01,MT,118.67,139.8,26.5,0.051,0.971,1.032,normal
2022-03-01,MT,133.11,151.4,19.3,0.146,0.875,1.05,normal
2022-04-01,MT,120.16,144.7,22.9,0.225,0.99,0.931,normal
2022-05-01,MT,119.29,153.6,28.0,0.169,1.079,1.05,normal
2022-06-01,MT,118.31,105.4,29.9,0.297,1.011,0.976,normal
2022-07-01,MT,114.33,211.8,20.0,0.119,0.883,0.958,normal
2022-08-01,MT,132.96,198.4,30.3,0.295,1.015,0.97,normal
2022-09-01,MT,127.9,94.8,32.4,0.084,1.039,1.033,normal
2022-10-01,MT,121.4,169.9,28.1,0.191,1.01,0.945,normal
2022-11-01,MT,131.64,124.6,30.1,0.086,0.897,1.075,normal
2022-12-01,MT,127.72,124.0,18.1,0.249,1.047,1.037,normal
2023-01-01,MT,119.36,75.7,27.3,0.125,0.907,0.906,normal
2023-02-01,MT,111.16,95.9,27.8,0.151,1.021,0.982,normal
2023-03-01,MT,124.39,63.7,27.8,0.05,1.055,1.09,normal
2023-04-01,MT,118.65,63.6,27.6,0.237,1.003,0.939,normal
2023-05-01,MT,115.01,206.1,25.3,0.217,0.992,1.043,normal
2023-06-01,MT,109.96,92.0,20.1,0.019,1.023,0.992,normal
2023-07-01,MT,113.5,169.4,25.1,0.073,0.988,1.028,normal
2023-08-01,MT,131.26,188.6,31.4,0.262,0.923,1.044,normal
2023-09-01,MT,119.07,71.2,30.0,0.205,1.006,0.994,normal
2023-10-01,MT,130.64,121.7,30.5,0.287,1.011,1.043,normal
2023-11-01,MT,119.85,157.1,33.8,0.214,1.098,0.912,normal
2023-12-01,MT,110.17,189.9,31.3,0.218,0.97,1.085,normal
2024-01-01,MT,97.06,104.4,25.0,0.652,0.828,1.209,stress_agricola
2024-02-01,MT,90.07,114.1,23.9,0.55,0.692,1.146,stress_agricola
2024-03-01,MT,101.92,111.1,25.3,0.651,0.808,1.114,stress_agricola
2024-04-01,MT,97.09,85.8,22.1,0.388,0.669,1.155,stress_agricola
2024-05-01,MT,107.72,97.6,29.4,0.535,0.765,1.105,stress_agricola
2024-06-01,MT,108.78,55.1,30.9,0.384,0.831,1.094,stress_agricola
2024-07-01,MT,118.04,153.3,20.4,0.004,1.003,1.074,stress_macro
2024-08-01,MT,132.8,142.7,25.6,0.27,1.043,1.017,stress_macro
2024-09-01,MT,131.68,140.2,26.4,0.113,1.045,1.074,stress_macro
2024-10-01,MT,125.44,137.1,25.7,0.114,0.869,0.945,stress_macro
2024-11-01,MT,126.89,93.0,20.4,0.183,0.886,0.939,stress_macro
2024-12-01,MT,109.5,139.8,27.1,0.192,1.074,1.064,stress_macro
2025-01-01,MT,97.51,120.9,32.4,0.713,0.645,1.179,stress_combinado
2025-02-01,MT,101.28,67.2,33.4,0.643,0.655,1.219,stress_combinado
2025-03-01,MT,102.46,64.4,30.8,0.498,0.83,1.088,stress_combinado
2025-04-01,MT,97.96,140.9,22.3,0.564,0.803,1.246,stress_combinado
2025-05-01,MT,96.75,70.5,21.3,0.55,0.745,1.058,stress_combinado
2025-06-01,MT,100.71,121.2,19.2,0.561,0.745,1.058,stress_combinado
2025-07-01,MT,131.17,108.0,18.2,0.129,1.066,0.989,normal
2025-08-01,MT,127.54,162.8,27.4,0.19,1.148,0.95,normal
2025-09-01,MT,117.18,125.1,22.3,0.189,0.995,0.957,normal
2025-10-01,MT,117.49,163.2,22.2,0.16,1.053,1.001,normal
2025-11-01,MT,113.63,160.1,19.8,0.227,0.852,1.079,normal
2025-12-01,MT,127.66,141.5,25.9,0.054,1.052,0.919,normal
2026-01-01,MT,129.17,197.9,23.5,0.206,0.908,0.922,normal
2026-02-01,MT,127.81,97.1,22.9,0.092,0.992,1.037,normal
2026-03-01,MT,117.06,208.4,21.4,0.202,0.908,0.979,normal
2026-04-01,MT,117.11,87.5,20.5,0.199,1.005,0.995,normal
2026-05-01,MT,114.76,155.2,24.7,0.218,0.929,1.087,normal
2026-06-01,MT,126.84,193.5,23.9,0.092,1.099,0.963,normal
2026-07-01,MT,109.34,109.3,27.0,0.229,1.132,0.911,normal
2026-08-01,MT,120.29,125.4,28.3,0.042,0.932,1.064,normal
2026-09-01,MT,129.41,92.4,28.6,0.077,0.857,0.985,normal
2026-10-01,MT,128.56,121.2,26.9,0.222,1.035,0.988,normal
2026-11-01,MT,126.75,103.8,19.2,0.048,1.132,1.019,normal
2026-12-01,MT,118.67,212.3,33.1,0.234,1.138,1.041,normal
2022-01-01,GO,79.71,217.9,27.4,0.018,0.953,1.008,normal
2022-02-01,GO,94.14,130.1,22.5,0.142,0.872,1.095,normal
2022-03-01,GO,89.05,177.2,31.2,0.262,1.022,1.012,normal
2022-04-01,GO,90.29,130.1,23.2,0.164,1.017,1.063,normal
2022-05-01,GO,93.96,170.3,20.2,0.231,1.06,1.048,normal
2022-06-01,GO,91.8,213.2,23.8,0.232,0.914,0.964,normal
2022-07-01,GO,95.72,96.4,23.8,0.06,0.928,1.021,normal
2022-08-01,GO,86.21,209.2,20.2,0.193,1.092,1.06,normal
2022-09-01,GO,85.26,193.1,19.0,0.297,1.02,1.099,normal
2022-10-01,GO,88.16,213.6,32.0,0.098,0.935,0.967,normal
2022-11-01,GO,88.5,70.7,19.2,0.028,0.884,0.932,normal
2022-12-01,GO,86.92,142.2,31.6,0.172,1.045,0.938,normal
2023-01-01,GO,86.88,71.7,28.9,0.245,1.117,1.099,normal
2023-02-01,GO,88.79,84.4,23.3,0.055,0.986,1.056,normal
2023-03-01,GO,85.75,178.3,33.2,0.267,0.938,1.025,normal
2023-04-01,GO,81.36,122.4,18.1,0.097,1.107,1.017,normal
2023-05-01,GO,82.23,182.8,26.5,0.196,1.096,1.085,normal
2023-06-01,GO,82.03,202.9,29.4,0.173,0.894,0.962,normal
2023-07-01,GO,79.42,76.1,26.5,0.283,0.888,0.97,normal
2023-08-01,GO,90.24,71.1,31.9,0.279,0.911,0.933,normal
2023-09-01,GO,92.24,218.6,21.7,0.276,0.858,1.076,normal
2023-10-01,GO,79.17,211.1,20.0,0.284,1.11,1.071,normal
2023-11-01,GO,82.2,93.4,18.8,0.132,1.081,1.018,normal
2023-12-01,GO,88.85,79.9,33.5,0.152,1.005,0.933,normal
2024-01-01,GO,64.91,60.8,33.1,0.564,0.861,1.13,stress_agricola
2024-02-01,GO,85.19,91.7,25.6,0.537,0.641,1.122,stress_agricola
2024-03-01,GO,68.3,49.4,23.8,0.439,0.85,1.185,stress_agricola
2024-04-01,GO,59.79,106.6,31.0,0.742,0.854,1.203,stress_agricola
2024-05-01,GO,73.7,127.1,20.8,0.311,0.669,1.143,stress_agricola
2024-06-01,GO,74.12,60.8,29.8,0.423,0.823,1.131,stress_agricola
2024-07-01,GO,85.12,84.2,31.0,0.201,1.127,1.057,stress_macro
2024-08-01,GO,85.26,64.8,21.3,0.121,1.102,1.024,stress_macro
2024-09-01,GO,86.96,64.6,18.4,0.009,1.07,0.929,stress_macro
2024-10-01,GO,91.37,125.2,26.6,0.229,0.901,0.92,stress_macro
2024-11-01,GO,79.89,115.8,21.6,0.126,1.141,0.993,stress_macro
2024-12-01,GO,93.72,126.4,32.4,0.132,1.093,0.9,stress_macro
2025-01-01,GO,64.5,88.5,32.4,0.511,0.759,1.255,stress_combinado
2025-02-01,GO,68.7,90.3,31.3,0.5,0.753,1.22,stress_combinado
2025-03-01,GO,71.16,116.3,29.5,0.531,0.694,1.093,stress_combinado
2025-04-01,GO,70.15,112.9,25.4,0.657,0.86,1.096,stress_combinado
2025-05-01,GO,81.36,78.0,20.3,0.647,0.806,1.219,stress_combinado
2025-06-01,GO,76.74,140.9,18.2,0.493,0.691,1.126,stress_combinado
2025-07-01,GO,95.71,197.2,21.0,0.261,0.972,1.099,normal
2025-08-01,GO,91.76,132.5,22.2,0.132,1.047,1.003,normal
2025-09-01,GO,84.69,114.0,33.9,0.056,1.112,1.054,normal
2025-10-01,GO,92.08,133.0,19.5,0.257,0.929,1.056,normal
2025-11-01,GO,80.38,128.2,18.4,0.163,1.143,1.066,normal
2025-12-01,GO,84.81,79.2,29.4,0.038,0.986,1.011,normal
2026-01-01,GO,81.92,210.3,33.5,0.292,1.096,1.077,normal
2026-02-01,GO,92.3,141.7,20.3,0.204,0.91,1.049,normal
2026-03-01,GO,88.01,144.1,30.5,0.169,0.864,1.007,normal
2026-04-01,GO,81.65,146.3,29.1,0.299,0.898,1.036,normal
2026-05-01,GO,95.01,161.6,31.7,0.068,1.065,1.008,normal
2026-06-01,GO,79.58,212.8,24.8,0.061,1.141,0.98,normal
2026-07-01,GO,87.07,122.4,26.3,0.126,0.947,1.044,normal
2026-08-01,GO,90.42,108.0,19.2,0.213,0.913,1.047,normal
2026-09-01,GO,81.18,155.0,19.1,0.227,0.994,0.932,normal
2026-10-01,GO,85.57,215.5,33.6,0.294,0.898,0.984,normal
2026-11-01,GO,82.69,154.6,22.0,0.105,1.135,0.928,normal
2026-12-01,GO,90.49,124.2,29.6,0.176,0.912,0.928,normal
2022-01-01,RS,91.76,112.4,28.2,0.156,1.081,1.02,normal
2022-02-01,RS,92.07,97.1,25.0,0.247,1.033,0.931,normal
2022-03-01,RS,98.17,200.8,30.1,0.216,1.135,0.908,normal
2022-04-01,RS,89.97,194.1,22.1,0.188,0.901,1.042,normal
2022-05-01,RS,91.74,198.5,25.8,0.087,0.877,1.046,normal
2022-06-01,RS,97.71,213.6,31.8,0.072,0.998,1.04,normal
2022-07-01,RS,96.25,129.2,18.9,0.032,1.103,1.046,normal
2022-08-01,RS,94.37,204.8,28.2,0.099,0.925,0.971,normal
2022-09-01,RS,92.89,62.1,29.4,0.146,0.916,0.987,normal
2022-10-01,RS,91.1,102.5,34.0,0.248,1.032,1.013,normal
2022-11-01,RS,82.96,157.1,31.9,0.2,0.882,1.068,normal
2022-12-01,RS,99.84,162.8,19.6,0.028,0.922,1.016,normal
2023-01-01,RS,95.31,173.5,27.7,0.245,0.862,1.029,normal
2023-02-01,RS,82.87,130.4,25.4,0.259,0.97,1.061,normal
2023-03-01,RS,86.13,179.1,24.9,0.272,0.904,1.026,normal
2023-04-01,RS,82.71,112.6,22.7,0.124,0.987,1.078,normal
2023-05-01,RS,99.82,117.4,28.9,0.106,0.933,1.057,normal
2023-06-01,RS,96.23,111.9,29.2,0.19,0.898,1.012,normal
2023-07-01,RS,95.95,198.2,28.4,0.222,1.084,0.934,normal
2023-08-01,RS,92.02,140.0,19.4,0.106,1.092,1.093,normal
2023-09-01,RS,83.84,110.6,22.9,0.274,0.972,1.024,normal
2023-10-01,RS,97.82,162.3,30.1,0.061,0.996,0.967,normal
2023-11-01,RS,85.27,130.0,23.8,0.048,0.855,0.938,normal
2023-12-01,RS,87.6,109.7,26.1,0.193,1.018,0.936,normal
2024-01-01,RS,73.47,103.3,19.2,0.498,0.843,1.188,stress_agricola
2024-02-01,RS,77.61,74.4,23.7,0.515,0.828,1.204,stress_agricola
2024-03-01,RS,77.57,102.8,33.5,0.428,0.823,1.092,stress_agricola
2024-04-01,RS,66.52,41.7,21.6,0.671,0.834,1.136,stress_agricola
2024-05-01,RS,70.89,69.9,33.4,0.757,0.736,1.163,stress_agricola
2024-06-01,RS,80.6,58.4,26.3,0.472,0.841,1.124,stress_agricola
2024-07-01,RS,88.85,118.2,30.8,0.129,1.128,0.947,stress_macro
2024-08-01,RS,88.06,146.5,19.2,0.208,1.098,1.04,stress_macro
2024-09-01,RS,98.95,187.3,27.3,0.029,1.146,1.042,stress_macro
2024-10-01,RS,86.35,145.7,19.7,0.248,0.955,1.04,stress_macro
2024-11-01,RS,87.1,216.2,31.1,0.067,1.101,0.992,stress_macro
2024-12-01,RS,100.38,130.1,27.5,0.019,0.857,0.99,stress_macro
2025-01-01,RS,75.25,106.6,32.3,0.634,0.652,1.117,stress_combinado
2025-02-01,RS,75.36,65.2,32.3,0.335,0.734,1.211,stress_combinado
2025-03-01,RS,71.17,107.8,23.0,0.611,0.69,1.219,stress_combinado
2025-04-01,RS,82.09,118.7,33.7,0.627,0.856,1.047,stress_combinado
2025-05-01,RS,77.72,119.6,19.1,0.515,0.674,1.08,stress_combinado
2025-06-01,RS,80.37,141.9,31.4,0.328,0.801,1.111,stress_combinado
2025-07-01,RS,89.15,172.1,29.0,0.241,0.992,1.069,normal
2025-08-01,RS,90.05,89.3,23.0,0.053,0.926,0.918,normal
2025-09-01,RS,94.01,101.7,21.2,0.105,0.874,0.99,normal
2025-10-01,RS,83.3,75.0,22.1,0.264,1.017,1.037,normal
2025-11-01,RS,82.42,75.3,18.0,0.296,0.948,0.961,normal
2025-12-01,RS,83.46,188.0,27.1,0.112,0.902,1.027,normal
2026-01-01,RS,83.96,139.7,26.6,0.293,1.055,0.931,normal
2026-02-01,RS,97.64,119.9,20.8,0.132,1.082,1.001,normal
