application_id,producer_id,application_date,requested_amount,term_months,interest_rate,collateral_value,purpose,state,rainfall,temperature,drought_index,crop_price,selic,inflation,usd_brl,commodity_index,true_default_probability
APP0000001,PRD000001,2026-06-05,11902.09,12,12.78,20017.19,custeio,GO,212.8,24.8,0.061,79.58,16.47,8.03,6.961,81.3,0.4479
APP0000002,PRD000001,2023-11-28,30438.19,18,8.65,46077.27,industrializacao,GO,93.4,18.8,0.132,82.2,11.34,4.18,4.877,101.75,0.3004
APP0000003,PRD000001,2022-12-31,86265.01,12,17.64,69549.32,investimento,GO,142.2,31.6,0.172,86.92,11.08,4.15,5.026,98.95,0.3711
APP0000004,PRD000002,2023-12-05,43781.3,18,7.68,71474.73,custeio,PR,110.8,19.8,0.02,168.56,11.37,4.23,4.853,101.44,0.4037
APP0000005,PRD000002,2025-02-20,57426.17,6,17.44,68196.94,industrializacao,PR,119.0,28.3,0.522,153.27,14.99,6.26,6.101,85.95,0.6996
APP0000006,PRD000003,2026-03-29,34458.94,18,9.08,28704.0,custeio,GO,144.1,30.5,0.169,88.01,16.55,7.88,7.004,81.6,0.6019
APP0000007,PRD000003,2025-10-15,149718.04,12,7.04,183532.03,investimento,GO,133.0,19.5,0.257,92.08,16.74,7.72,7.0,80.46,0.5689
APP0000008,PRD000003,2023-07-06,56423.37,18,8.92,54679.69,industrializacao,GO,76.1,26.5,0.283,79.42,11.39,4.11,4.951,102.57,0.4079
APP0000009,PRD000004,2023-02-19,7235.31,24,11.97,11685.39,investimento,PI,168.5,29.6,0.157,176.91,11.2,3.98,4.998,100.89,0.3421
APP0000010,PRD000004,2026-06-24,18363.83,6,6.68,24697.97,investimento,PI,145.6,23.9,0.115,187.45,16.47,8.03,6.961,81.3,0.5891
APP0000011,PRD000004,2025-11-28,9990.17,6,6.9,10236.24,custeio,PI,148.0,32.3,0.041,156.31,16.6,7.75,6.959,81.73,0.6032
APP0000012,PRD000005,2025-02-23,13787.0,18,10.65,12160.3,comercializacao,RS,65.2,32.3,0.335,75.36,14.99,6.26,6.101,85.95,0.4164
APP0000013,PRD000005,2024-04-03,21244.01,18,12.91,36018.61,industrializacao,RS,41.7,21.6,0.671,66.52,11.32,4.4,4.805,100.32,0.2745
APP0000014,PRD000005,2022-04-30,44188.6,24,12.7,41336.04,investimento,RS,194.1,22.1,0.188,89.97,10.71,4.56,5.06,99.87,0.2408
APP0000015,PRD000005,2024-10-06,64699.44,18,12.73,65181.03,comercializacao,RS,145.7,19.7,0.248,86.35,12.65,5.14,5.398,92.17,0.2798
APP0000016,PRD000006,2026-06-02,77302.4,12,12.27,74631.61,custeio,SP,128.1,18.6,0.032,71.77,16.47,8.03,6.961,81.3,0.4656
APP0000017,PRD000006,2022-06-19,76859.72,18,6.79,132128.73,custeio,SP,123.4,21.4,0.129,62.48,10.82,4.51,5.065,99.4,0.2523
APP0000018,PRD000006,2023-09-21,28937.12,12,7.34,25571.89,custeio,SP,108.4,29.3,0.269,68.04,11.49,4.14,4.898,102.79,0.3448
APP0000019,PRD000007,2026-11-14,26460.36,18,10.41,16949.11,industrializacao,PR,80.6,30.2,0.073,157.11,16.32,7.8,6.864,85.41,0.6153
APP0000020,PRD000007,2025-10-28,16528.05,36,12.54,17514.46,industrializacao,PR,218.0,23.8,0.132,170.37,16.74,7.72,7.0,80.46,0.5714
APP0000021,PRD000007,2022-10-23,36177.38,12,11.37,60728.89,comercializacao,PR,173.6,32.4,0.093,182.74,11.13,4.34,5.037,97.77,0.2995
APP0000022,PRD000008,2022-11-03,53603.32,36,17.83,77425.77,comercializacao,TO,78.3,27.5,0.224,136.96,11.17,4.25,4.99,99.15,0.1391
APP0000023,PRD000008,2023-03-05,5000,36,15.79,3635.17,custeio,TO,131.5,20.4,0.194,121.97,11.34,4.05,4.953,99.59,0.1805
APP0000024,PRD000008,2022-10-21,157081.01,18,13.68,105367.02,custeio,TO,158.6,32.2,0.212,125.45,11.13,4.34,5.037,97.77,0.1786
APP0000025,PRD000008,2024-11-30,22585.65,12,8.85,28532.34,investimento,TO,188.9,30.7,0.161,135.32,13.13,5.44,5.596,90.86,0.1735
APP0000026,PRD000009,2024-04-07,37349.86,24,8.53,30507.3,industrializacao,RS,41.7,21.6,0.671,66.52,11.32,4.4,4.805,100.32,0.7036
APP0000027,PRD000009,2024-01-14,40779.94,12,10.86,66686.84,comercializacao,RS,103.3,19.2,0.498,73.47,11.38,4.15,4.823,100.55,0.5926
APP0000028,PRD000009,2022-10-19,50657.62,24,10.9,70374.25,custeio,RS,102.5,34.0,0.248,91.1,11.13,4.34,5.037,97.77,0.5291
APP0000029,PRD000009,2026-11-15,16654.8,6,13.92,13501.36,investimento,RS,81.7,30.2,0.088,93.63,16.32,7.8,6.864,85.41,0.7402
APP0000030,PRD000010,2025-03-02,27203.71,36,17.48,46016.98,industrializacao,BA,90.6,30.7,0.538,96.08,15.36,6.47,6.304,83.95,0.6384
APP0000031,PRD000010,2026-02-09,31299.21,36,7.37,30167.38,investimento,BA,123.1,21.1,0.218,110.61,16.55,7.87,6.969,81.38,0.6726
APP0000032,PRD000011,2025-08-30,39382.83,18,9.57,29402.74,industrializacao,SP,206.2,30.9,0.238,60.52,16.68,7.68,6.994,80.38,0.7664
APP0000033,PRD000011,2026-07-14,29884.5,6,13.07,27291.89,industrializacao,SP,171.3,31.1,0.3,63.08,16.33,7.98,6.914,82.48,0.7267
