date,selic,inflation,usd_brl,commodity_index,agri_input_index,regime
2022-01-01,10.46,4.45,5.045,98.92,100.79,normal
2022-02-01,10.54,4.52,5.093,99.9,101.59,normal
2022-03-01,10.67,4.59,5.055,98.83,101.98,normal
2022-04-01,10.71,4.56,5.06,99.87,101.27,normal
2022-05-01,10.73,4.53,5.077,99.68,100.81,normal
2022-06-01,10.82,4.51,5.065,99.4,99.95,normal
2022-07-01,10.92,4.41,5.063,99.17,100.3,normal
2022-08-01,10.97,4.34,5.033,99.26,100.44,normal
2022-09-01,11.12,4.39,5.008,98.34,99.97,normal
2022-10-01,11.13,4.34,5.037,97.77,99.99,normal
2022-11-01,11.17,4.25,4.99,99.15,99.95,normal
2022-12-01,11.08,4.15,5.026,98.95,99.73,normal
2023-01-01,11.2,4.06,4.981,99.95,100.25,normal
2023-02-01,11.2,3.98,4.998,100.89,99.92,normal
2023-03-01,11.34,4.05,4.953,99.59,99.98,normal
2023-04-01,11.38,4.0,4.932,99.91,100.7,normal
2023-05-01,11.32,3.99,4.959,101.0,100.74,normal
2023-06-01,11.43,4.08,4.974,101.38,99.84,normal
2023-07-01,11.39,4.11,4.951,102.57,99.72,normal
2023-08-01,11.42,4.09,4.906,103.9,100.49,normal
2023-09-01,11.49,4.14,4.898,102.79,99.77,normal
2023-10-01,11.35,4.2,4.922,102.76,100.02,normal
2023-11-01,11.34,4.18,4.877,101.75,100.42,normal
2023-12-01,11.37,4.23,4.853,101.44,100.46,normal
2024-01-01,11.38,4.15,4.823,100.55,99.93,stress_agricola
2024-02-01,11.51,4.24,4.804,101.19,99.27,stress_agricola
2024-03-01,11.47,4.33,4.765,101.33,98.43,stress_agricola
2024-04-01,11.32,4.4,4.805,100.32,97.63,stress_agricola
2024-05-01,11.35,4.3,4.766,101.07,97.11,stress_agricola
2024-06-01,11.35,4.33,4.729,101.06,97.26,stress_agricola
2024-07-01,11.7,4.51,4.809,97.34,98.96,stress_macro
2024-08-01,11.97,4.69,5.047,96.01,100.61,stress_macro
2024-09-01,12.34,4.97,5.245,93.58,100.58,stress_macro
2024-10-01,12.65,5.14,5.398,92.17,102.65,stress_macro
2024-11-01,13.13,5.44,5.596,90.86,103.95,stress_macro
2024-12-01,13.83,5.67,5.708,89.04,104.99,stress_macro
2025-01-01,14.32,6.06,5.846,87.46,105.82,stress_combinado
2025-02-01,14.99,6.26,6.101,85.95,107.08,stress_combinado
2025-03-01,15.36,6.47,6.304,83.95,108.7,stress_combinado
2025-04-01,15.89,6.77,6.48,81.98,110.32,stress_combinado
2025-05-01,16.25,7.09,6.729,81.39,112.36,stress_combinado
2025-06-01,16.84,7.51,6.986,80.33,112.8,stress_combinado
2025-07-01,16.76,7.58,6.979,80.98,113.24,normal
2025-08-01,16.68,7.68,6.994,80.38,113.45,normal
2025-09-01,16.79,7.7,7.0,79.08,112.62,normal
2025-10-01,16.74,7.72,7.0,80.46,113.12,normal
2025-11-01,16.6,7.75,6.959,81.73,112.59,normal
2025-12-01,16.61,7.74,6.957,81.85,113.53,normal
2026-01-01,16.52,7.83,6.952,81.49,112.69,normal
2026-02-01,16.55,7.87,6.969,81.38,112.91,normal
2026-03-01,16.55,7.88,7.004,81.6,112.78,normal
2026-04-01,16.55,7.95,7.038,80.49,112.82,normal
2026-05-01,16.46,8.05,6.992,80.92,112.45,normal
2026-06-01,16.47,8.03,6.961,81.3,111.93,normal
2026-07-01,16.33,7.98,6.914,82.48,111.65,normal
2026-08-01,16.48,7.96,6.926,83.04,111.79,normal
2026-09-01,16.34,7.89,6.904,83.16,112.34,normal
2026-10-01,16.29,7.86,6.879,84.46,112.13,normal
2026-11-01,16.32,7.8,6.864,85.41,111.72,normal
2026-12-01,16.36,7.83,6.827,85.51,111.87,normal
