payment_id,application_id,due_date,payment_date,amount,days_late,default_flag,loss_amount
PAY0000001,APP0000001,2027-05-31,2027-05-31,11902.09,0,0,0.0
PAY0000002,APP0000002,2025-05-21,2025-05-21,30438.19,0,0,0.0
PAY0000003,APP0000003,2023-12-26,2023-12-26,86265.01,0,0,0.0
PAY0000004,APP0000004,2025-05-28,2025-05-28,43781.3,0,0,0.0
PAY0000005,APP0000005,2025-08-19,2026-07-02,57426.17,317,1,23593.23
PAY0000006,APP0000006,2027-09-20,2027-09-20,34458.94,0,0,0.0
PAY0000007,APP0000007,2026-10-10,2026-10-10,149718.04,0,0,0.0
PAY0000008,APP0000008,2024-12-27,2025-03-23,56423.37,86,1,23268.95
PAY0000009,APP0000009,2025-02-08,2025-02-08,7235.31,0,0,0.0
PAY0000010,APP0000010,2026-12-21,2026-12-21,18363.83,0,0,0.0
PAY0000011,APP0000011,2026-05-27,2027-06-18,9990.17,387,1,5840.53
PAY0000012,APP0000012,2026-08-17,2026-08-17,13787.0,0,0,0.0
PAY0000013,APP0000013,2025-09-25,2025-09-25,21244.01,0,0,0.0
PAY0000014,APP0000014,2024-04-19,2024-04-19,44188.6,0,0,0.0
PAY0000015,APP0000015,2026-03-30,2026-03-30,64699.44,0,0,0.0
PAY0000016,APP0000016,2027-05-28,2027-05-28,77302.4,0,0,0.0
PAY0000017,APP0000017,2023-12-11,2024-02-01,76859.72,52,1,23162.68
PAY0000018,APP0000018,2024-09-15,2024-09-15,28937.12,0,0,0.0
PAY0000019,APP0000019,2028-05-07,2029-03-18,26460.36,315,1,17987.77
PAY0000020,APP0000020,2028-10-12,2028-10-12,16528.05,0,0,0.0
PAY0000021,APP0000021,2023-10-18,2023-10-18,36177.38,0,0,0.0
PAY0000022,APP0000022,2025-10-18,2025-10-18,53603.32,0,0,0.0
PAY0000023,APP0000023,2026-02-17,2026-05-23,5000,95,1,1650.59
PAY0000024,APP0000024,2024-04-13,2024-04-13,157081.01,0,0,0.0
PAY0000025,APP0000025,2025-11-25,2025-11-25,22585.65,0,0,0.0
PAY0000026,APP0000026,2026-03-28,2026-10-09,37349.86,195,1,13790.37
PAY0000027,APP0000027,2025-01-08,2025-01-08,40779.94,0,0,0.0
PAY0000028,APP0000028,2024-10-08,2025-05-27,50657.62,231,1,11879.86
PAY0000029,APP0000029,2027-05-14,2027-09-23,16654.8,132,1,8125.61
PAY0000030,APP0000030,2028-02-15,2028-06-12,27203.71,118,1,22333.49
PAY0000031,APP0000031,2029-01-24,2029-06-25,31299.21,152,1,24502.88
PAY0000032,APP0000032,2027-02-21,2027-12-01,39382.83,283,1,13479.28
PAY0000033,APP0000033,2027-01-10,2027-12-19,29884.5,343,1,19875.26
PAY0000034,APP0000034,2025-08-11,2025-12-02,16435.89,113,1,3879.44
PAY0000035,APP0000035,2028-09-11,2028-12-21,102299.31,101,1,58998.68
PAY0000036,APP0000036,2026-02-12,2026-02-12,129554.09,0,0,0.0
PAY0000037,APP0000037,2026-12-10,2026-12-10,18256.88,0,0,0.0
PAY0000038,APP0000038,2028-03-28,2028-03-28,43875.37,0,0,0.0
PAY0000039,APP0000039,2027-05-14,2027-07-15,110888.54,62,1,79745.48
PAY0000040,APP0000040,2029-03-02,2029-09-26,30709.71,208,1,22813.31
PAY0000041,APP0000041,2023-09-03,2023-09-03,119223.21,0,0,0.0
PAY0000042,APP0000042,2027-09-11,2027-09-11,14229.56,0,0,0.0
PAY0000043,APP0000043,2022-07-10,2022-10-08,36298.34,90,1,12149.4
PAY0000044,APP0000044,2023-08-25,2023-08-25,105925.53,0,0,0.0
PAY0000045,APP0000045,2023-08-14,2024-03-07,30334.68,206,1,19114.38
PAY0000046,APP0000046,2024-05-19,2024-05-19,12094.48,0,0,0.0
PAY0000047,APP0000047,2025-02-20,2025-06-07,42026.66,107,1,29285.61
PAY0000048,APP0000048,2024-01-28,2024-01-28,22281.46,0,0,0.0
PAY0000049,APP0000049,2025-05-15,2025-06-23,116534.18,39,1,86933.85
PAY0000050,APP0000050,2026-06-03,2027-07-05,26046.59,397,1,16500.98
PAY0000051,APP0000051,2028-04-20,2028-07-20,13876.77,91,1,4055.09
PAY0000052,APP0000052,2027-05-03,2027-05-03,136802.12,0,0,0.0
PAY0000053,APP0000053,2028-03-23,2028-05-23,100937.74,61,1,31101.81
PAY0000054,APP0000054,2024-12-23,2024-12-23,18327.77,0,0,0.0
PAY0000055,APP0000055,2024-04-14,2024-06-14,151078.45,61,1,42460.83
PAY0000056,APP0000056,2027-06-05,2027-12-10,5021.66,188,1,3037.55
PAY0000057,APP0000057,2025-07-23,2025-12-29,28480.04,159,1,14573.85
PAY0000058,APP0000058,2024-09-27,2025-07-18,67316.41,294,1,18829.34
PAY0000059,APP0000059,2024-02-14,2024-11-21,179045.08,281,1,54647.84
PAY0000060,APP0000060,2027-11-08,2027-11-08,29564.87,0,0,0.0
