producer_id,age,state,municipality,region,farm_size_ha,years_farming,crop_type,annual_revenue,annual_cost,equity,debt
PRD000001,67,GO,Goias - Municipio 35,Centro-Oeste,19.9,15,cafe,375382.24,284041.37,53002.37,39834.27
PRD000002,28,PR,Parana - Municipio 6,Sul,49.0,1,cafe,287748.67,200824.12,90354.43,90749.07
PRD000003,75,GO,Goias - Municipio 40,Centro-Oeste,39.2,17,algodao,778129.26,574010.26,378818.22,280344.72
PRD000004,66,PI,Piaui - Municipio 5,Nordeste,163.6,6,cana-de-acucar,152761.74,128616.01,64984.15,57687.66
PRD000005,58,RS,Rio Grande do Sul - Municipio 21,Sul,58.5,30,milho,290530.42,229407.17,94288.69,29581.05
PRD000006,59,SP,Sao Paulo - Municipio 26,Sudeste,8.3,30,algodao,120756.88,97903.17,164628.63,96397.02
PRD000007,51,PR,Parana - Municipio 34,Sul,52.4,8,algodao,121019.91,95384.07,165224.95,131330.79
PRD000008,68,TO,Tocantins - Municipio 17,Norte,159.3,35,cana-de-acucar,730835.71,488973.97,95163.47,5144.22
PRD000009,55,RS,Rio Grande do Sul - Municipio 1,Sul,55.3,20,cana-de-acucar,457427.02,283430.42,108403.46,134623.51
PRD000010,71,BA,Bahia - Municipio 9,Nordeste,53.5,24,milho,155536.68,133342.12,130528.03,130626.28
PRD000011,50,SP,Sao Paulo - Municipio 8,Sudeste,60.9,14,milho,439901.27,303376.73,194085.26,227956.55
PRD000012,35,PR,Parana - Municipio 35,Sul,66.8,1,milho,49190.46,30996.37,61517.41,54518.1
PRD000013,68,PI,Piaui - Municipio 4,Nordeste,63.8,31,pecuaria,313674.78,183162.79,113078.47,71666.97
PRD000014,50,GO,Goias - Municipio 36,Centro-Oeste,91.9,13,soja,101245.47,70634.77,88864.24,106999.83
PRD000015,46,MT,Mato Grosso - Municipio 1,Centro-Oeste,91.0,1,cafe,328493.18,236506.68,69154.39,8526.34
PRD000016,25,MS,Mato Grosso do Sul - Municipio 4,Centro-Oeste,18.3,32,cana-de-acucar,110256.7,98023.53,168951.89,166412.45
PRD000017,58,SP,Sao Paulo - Municipio 16,Sudeste,56.3,11,cana-de-acucar,67427.78,57176.73,306463.93,376029.76
PRD000018,41,PI,Piaui - Municipio 30,Nordeste,95.5,21,algodao,383089.72,306727.35,73603.43,65478.55
PRD000019,67,GO,Goias - Municipio 20,Centro-Oeste,60.8,35,cana-de-acucar,124394.52,109049.31,107731.68,117662.51
PRD000020,38,TO,Tocantins - Municipio 33,Norte,21.8,9,cafe,280601.98,182002.57,72812.13,66213.27
PRD000021,29,MS,Mato Grosso do Sul - Municipio 5,Centro-Oeste,18.3,18,pecuaria,87420.63,52084.06,101599.0,76314.42
PRD000022,64,RS,Rio Grande do Sul - Municipio 7,Sul,83.6,10,algodao,182043.72,123357.93,49846.92,44991.0
PRD000023,33,TO,Tocantins - Municipio 22,Norte,148.3,10,cafe,388430.68,235729.11,219722.1,124223.85
PRD000024,36,PR,Parana - Municipio 2,Sul,10.0,7,pecuaria,171659.08,122691.87,42204.6,48077.53
PRD000025,38,PR,Parana - Municipio 12,Sul,43.9,5,cana-de-acucar,432685.79,335123.2,301941.26,58630.11
PRD000026,22,MS,Mato Grosso do Sul - Municipio 34,Centro-Oeste,17.9,28,cana-de-acucar,258086.46,176742.36,153435.6,143612.9
PRD000027,42,PR,Parana - Municipio 26,Sul,43.6,22,pecuaria,308463.4,183109.69,405929.32,358685.69
PRD000028,51,MS,Mato Grosso do Sul - Municipio 29,Centro-Oeste,60.6,25,cafe,242422.73,179823.85,105969.41,92021.93
PRD000029,37,PR,Parana - Municipio 20,Sul,59.4,11,milho,259456.34,202985.37,159617.55,197925.69
PRD000030,71,PR,Parana - Municipio 7,Sul,116.9,13,cafe,304261.4,209903.4,28328.24,33025.76
PRD000031,50,PR,Parana - Municipio 40,Sul,56.2,16,pecuaria,87337.54,64271.36,150009.86,149119.18
PRD000032,62,TO,Tocantins - Municipio 16,Norte,16.2,29,algodao,190793.43,121446.49,298566.86,209481.9
PRD000033,35,SP,Sao Paulo - Municipio 5,Sudeste,21.9,18,cafe,31484.22,18204.24,61284.47,14769.96
PRD000034,70,MG,Minas Gerais - Municipio 37,Sudeste,33.5,4,cafe,108321.7,93881.71,194655.34,218192.1
PRD000035,49,SP,Sao Paulo - Municipio 32,Sudeste,16.8,25,soja,135245.63,100236.8,159819.46,51825.78
PRD000036,27,MG,Minas Gerais - Municipio 28,Sudeste,24.8,26,milho,1075087.92,937304.19,523587.54,460102.39
PRD000037,38,SP,Sao Paulo - Municipio 6,Sudeste,28.1,21,cafe,118850.07,97032.81,68258.88,74395.72
